song,code,ftp,ltp,times_played,aka
1 x 1,ONEBY1,03/23/1995,05/27/2023,147,
Ophelia,OPHELI,07/15/1987,08/26/2023,147,
Over The Hills And Far Away,OTHAFA,10/31/1998,12/31/1998,2,
The Other One,OTHER1,02/24/1985,03/11/1989,47,That's It For The Other One; Quadlibet for Tenderfeet
The Other One Jam,OTHR1J,07/21/1986,10/13/1988,2,That's It For The Other One; Quadlibet for Tenderfeet
Outta Mind (Outta Sight),OUTTAM,10/31/2011,10/31/2011,1,
Over The Rainbow,OVERTR,10/28/2023,10/28/2023,1,
On Your Way Down,OYWDWN,11/28/2009,10/23/2022,7,
Papa's Home,PAPAH,08/27/1992,05/17/2025,535,
Papa Johnny Road,PAPAJR,04/15/2003,05/17/2025,124,
Paranoid,PARNOD,10/31/1987,10/30/2016,2,
Henry Parsons Died,PARSON,10/25/1992,05/16/2025,706,
Party At Your Mama's House,PAYMH,05/07/1997,04/24/2025,224,"That Thang, Untitled Instrumental"
Pet Sematary,PETSEM,10/31/2003,10/31/2003,1,
Peace Frog,PFROG,10/31/1998,03/27/2022,5,
Phosphene Dream,PHODRM,10/29/2022,10/29/2022,1,
Pickin' Up The Pieces,PIECES,06/26/1991,04/26/2025,499,
Pigeons,PIGEON,10/23/1986,04/25/2025,1099,A Hog's Eternity
Pigeons reprise,PIGONR,03/25/1989,03/25/1989,1,
Pilgrims,PILGRI,09/14/1992,05/16/2025,573,Pilgrim Radio
Plastic Jesus,PJESUS,03/14/2014,04/12/2014,3,
Pleas,PLEAS,01/22/1988,04/26/2025,577,
People Are Strange,PLRSTR,10/30/2006,10/30/2006,1,
"Baby, Please Don't Go",PLSDGO,10/31/2008,10/29/2014,6,
Hey Pocky Way,POCK,10/31/2019,10/31/2019,1,
Piece of My Heart,POMHRT,08/24/2018,05/25/2024,2,
Porch Song,PORCH,03/17/1986,04/24/2025,1167,"Moon Time, Panic's Theme"
Postcard,POSTCA,10/06/1986,05/17/2025,255,
Postcard reprise,POSTCR,06/27/1999,06/27/1999,1,
Perfect Day,PRFDAY,10/31/2019,10/31/2019,1,
Proud Mary,PRMARY,10/31/2008,10/31/2008,1,
Protein Drink,PROTEI,12/31/2001,04/25/2025,144,
Proving Ground,PROVIN,,04/25/2025,662,"Drug Deal, Big Sex"
Puppy Sleeps,PUPPY,12/31/2001,10/28/2023,8,
Pusherman,PUSHER,10/31/1990,10/30/2021,134,
Quarter Tank Of Gasoline,QTOGAS,03/04/1992,09/16/2023,33,
Radio Child,RADIO,03/26/1995,06/22/2024,417,
Rainy Day Women #12 & 35,RAINYW,04/20/2002,11/10/2002,2,
Room at the Top,RATTOP,03/24/2024,03/24/2024,1,
Red Beans,RBCOOK,04/27/1992,02/20/2022,114,
Road To Damascus,RD2DAM,06/26/2001,10/02/2007,5,
Radar Love,RDRLOV,10/31/1996,10/30/2006,2,
(Don't Fear) The Reaper,REAPER,10/28/2018,10/28/2018,1,
Rebirtha,REBIRT,01/23/1993,04/25/2025,426,
Reflections,REFLEC,01/12/1991,01/31/1991,2,
Right Place Wrong Time,RGHTPL,10/30/2010,10/30/2010,1,
Roadhouse Blues,RHBLUE,01/25/2022,12/29/2023,2,
Red Hot Mama,RHMAMA,10/31/1998,04/24/2025,203,
Ribs And Whiskey,RIBAWY,11/24/1990,04/25/2025,242,Seen Your Sister Naked
Ride Me High,RIDEME,11/04/1996,05/17/2025,306,
I Know You Rider,RIDER,04/24/1986,07/06/1991,28,
Rockin' In The Free World,RITFW,10/04/1994,12/31/2022,7,
Rock,ROCK,10/04/1989,04/25/2025,732,Brass Shoes Walking Blues
Rock Steady,ROCKST,08/24/2018,08/24/2018,1,
(Don't Go Back To) Rockville,ROCKVL,12/30/2009,12/30/2009,1,
Ring of Fire,ROFIRE,05/16/2003,05/16/2003,1,
Raise The Roof,ROOF,01/27/1994,06/22/2001,45,
Little Red Rooster,ROOSTR,06/12/2005,06/12/2005,1,
Ramble On Rose,ROROSE,05/23/2015,05/23/2015,1,
Rotgut,ROTGUT,10/31/1995,10/31/1995,1,
Riders On The Storm,ROTS,10/31/1996,10/24/2021,12,
House of the Rising Sun,RSNSUN,11/23/2001,10/29/2017,3,
Rumble,RUMBLE,10/29/2017,06/23/2023,11,
Running Down A Dream,RUNDRM,10/29/2022,05/17/2025,9,
Run For Your Life,RUNFYL,04/16/2005,09/01/2005,9,
Many Rivers To Cross,RVRCRS,01/28/2012,12/31/2022,13,
Respect Yourself,RYOURS,12/31/1999,12/31/1999,1,
Saint Ex,SAINTX,05/07/2010,05/16/2025,149,
Sandbox,SANDBX,04/03/1996,12/31/2022,25,
Enter Sandman,SANDMN,10/31/2007,10/29/2022,2,
Scarlet Begonias,SBEGON,08/12/1987,10/20/1987,6,
Still Crazy After All These Years,SCAATY,12/31/2016,12/31/2016,1,
Set the Controls for the Heart of the Sun Jam,SCHSJM,07/11/2006,07/11/2006,1,
She Caught The Katy,SCKATY,03/16/1987,07/10/2015,194,
Scholarship,SCSHIP,12/31/2001,04/22/2002,2,
Street Dogs For Breakfast,SD4B,03/13/2015,01/26/2019,28,
Sundown Betty,SDBETY,01/29/2018,08/27/2023,24,
Sympathy for the Devil,SDEVIL,04/24/1986,01/27/2020,33,
I Wanna Be Sedated,SEDATE,10/31/2003,12/31/2023,7,
Sell Sell,SELL,02/19/2012,09/18/2022,76,
Send Your Mind,SENDYM,04/02/1991,04/24/2025,341,
Sewing Machine,SEWMAC,12/31/2001,04/25/2025,147,
The Shape I'm In,SHAPE,09/17/1995,10/23/2021,32,
Sharon,SHARON,06/16/1986,05/17/2025,80,
She Walks Right In,SHEWRI,10/12/2003,10/12/2003,1,
Shiek,SHIEK,03/24/1996,11/18/2000,4,
Shoes On Tight,SHOES,03/24/2007,03/30/2007,2,
Stranglehold,SHOLD,10/20/1988,10/20/1988,1,
Shoot Out At The Fantasy Factory,SHOOTO,10/31/1989,12/31/1989,9,Shoot Out
I Shot The Sheriff,SHTSRF,10/31/2015,10/31/2015,1,
Shut Up And Drive,SHUTUP,05/08/2010,03/23/2025,108,
Stranger in a Strange Land,SIASL,11/19/2021,03/22/2024,7,
Sick And Tired,SICKTR,11/01/1996,11/01/1996,1,
Slippin' Into Darkness,SIDARK,10/31/2002,01/19/2024,78,
Song For Sitara,SITARA,03/30/2005,07/18/2006,14,
Spirit In The Dark,SITD,10/31/2005,10/31/2005,1,
Space is the Place Jam,SITPJM,04/18/1992,04/18/1992,1,
Skin It Back,SKINIB,10/31/2002,11/12/2002,3,
Solid Rock,SLDRCK,06/11/2005,06/22/2018,117,
Sweet Leaf,SLEAF,10/31/1989,08/10/2022,17,
St. Louis,SLOUIS,10/19/2007,01/20/2024,71,
Slip Kid,SLPKID,10/31/2007,10/31/2007,1,
Smoking Factory,SMKFAC,03/23/2007,10/21/2017,22,
Smoke And Burn,SMOKAB,03/30/1995,07/31/1998,29,Burned Faceless
Smokestack Lightning,SMOKE,04/05/1986,02/16/2025,69,
Small Town,SMTOWN,06/23/2024,05/17/2025,3,
Silent Night,SNIGHT,08/24/2019,08/24/2019,1,
Snake Drive,SNKDRV,04/09/2005,01/27/2019,5,
Snorkle Search,SNORKL,04/20/1990,04/20/1990,1,
Snowblind,SNOWBL,10/28/2023,10/28/2023,1,
I'm So Glad,SOGLAD,07/08/2003,05/17/2025,26,
Solace,SOLACE,01/26/1996,04/13/1996,8,
Sometimes,SOMTMS,08/23/1999,02/16/2025,118,
Soul Kitchen,SOULKI,10/28/2000,12/29/2023,3,
Space is the Place,SPACEP,05/29/2022,05/29/2022,1,
Ace of Spades,SPADES,10/31/2013,04/19/2023,7,
Spoonful,SPOONF,02/13/1986,03/24/2023,39,
Sparks Fly,SPRKFL,05/10/2003,05/16/2025,6,
Space Truckin',SPTRUK,10/31/1996,10/31/1996,1,
Spill The Wine,SPWINE,10/31/2013,12/31/2013,2,
"Shake, Rattle, And Roll",SRROLL,11/01/1996,10/12/2003,3,
Straight To Hell,ST2HEL,10/25/2015,11/19/2021,2,
Starman,STARMN,10/31/2019,10/31/2019,1,
Strange Brew,STBREW,10/31/2014,10/31/2014,1,
Steven's Cat,STEVEN,03/28/2015,02/14/2025,53,
Stag-O-Lee,STGRLE,01/18/1996,11/08/2013,10,
Strange Times,STIMES,10/31/2010,10/15/2011,4,
Stir It Up,STIRUP,06/22/1985,06/29/2008,5,
Shouldn't Have Took More Than You Gave,STMTYG,03/17/1986,05/27/1989,25,
And It Stoned Me,STONED,02/16/1987,05/17/2025,169,
Stop Breakin' Down Blues,STOPBD,10/27/2000,04/24/2025,199,
Stop-Go,STOPGO,04/07/1986,03/21/2025,779,Bookends
Success Yourself,SUCCES,01/27/1994,06/27/2021,7,
Such A Night,SUCHAN,10/30/2021,10/30/2021,1,
Sugaree,SUGARE,02/24/1985,10/02/1988,35,
Sultans of Swing,SULTAN,02/14/2011,09/28/2013,3,
Sun Keep,SUNKEP,07/05/1990,10/15/1990,8,
Superstition,SUPERS,10/31/1998,07/13/2013,25,
Surprise Valley,SURPRS,06/27/1999,04/24/2025,386,
Susie Q,SUSIEQ,04/25/1986,09/07/2013,3,
Strictly Volunteer Jam,SVOLNT,09/14/1992,09/14/1992,1,
Swamp,SWAMP,10/31/1998,01/29/2018,22,
Sweet Dreams (PC),SWDRPC,10/29/2022,10/29/2022,1,
Sweet Dreams (RB),SWDRRB,10/29/2022,10/29/2022,1,
Sweetness,SWEET,02/01/1989,02/01/1989,1,
Tacos,TACOS,08/01/1995,10/31/2019,3,Tacos Are Cheap But Pizza Is Expensive
There's A Hole In The Bucket,TAHITB,04/07/1986,11/11/1987,2,
The Take Out,TAKEOU,08/22/1987,02/16/2025,363,
Tall Boy,TALBOY,08/03/1995,05/16/2025,510,Naked In The Mud
Tackle Box Hero,TBHERO,01/17/2023,05/16/2025,13,
Tears of a Woman,TEARS,07/07/1999,08/09/2003,16,
Thank You Falettinme Be Mice Elf Agin,TFLMBM,08/05/1989,04/24/2015,33,
This Friendly World,TFWRLD,10/31/2019,03/03/2023,3,
Thinkin',THINKI,02/24/1985,02/24/1985,1,
Thin Air (Smells Like Mississippi),THNAIR,04/12/2003,05/27/2023,105,
Thought Sausage,THSAUS,04/18/2000,04/26/2025,235,
There Is A Time,TIATIM,10/31/2015,06/22/2024,12,
Tickle the Truth,TICKLE,04/04/2007,12/30/2023,91,
Time Is Free,TIFREE,10/30/1993,05/29/2022,33,
Time Is Free Jam,TIFREJ,10/26/1993,08/02/1998,4,
Time Fades Away,TIMEFA,12/31/2013,06/29/2014,5,
The Time Warp,TIMWRP,10/31/2003,10/31/2003,1,
Time Zones,TIMZON,04/30/2005,12/30/2023,126,
Time Is On My Side,TIOMS,12/31/2012,12/31/2012,1,
Tipitina,TIPITI,06/21/2008,03/20/2014,2,
Tiptoe Through The Tulips,TIPTOE,10/28/2018,10/28/2018,1,
Train Kept A Rollin',TKAROL,04/05/2000,04/05/2000,1,
Tail Dragger,TLDRAG,10/31/2011,02/16/2025,89,
Travelin' Light,TLIGHT,04/17/1986,04/14/2024,1040,
This Must Be The Place (Naïve Melody),TMBTP,10/28/2023,10/28/2023,1,
Tennessee Before Daylight,TNB4DL,08/13/2006,08/13/2006,1,
That Old Black Magic,TOBM,10/30/2006,10/30/2006,1,
The Old Man Down the Road,TOMDTR,09/07/2013,09/07/2013,1,
Tongue (Shuffle In A),TONGUE,12/31/2010,12/31/2010,1,
Tortured Artist,TORART,04/11/2003,04/14/2024,87,
Toura Loura Loura,TOURA,03/17/2018,03/17/2018,1,
The Poorhouse Of Positive Thinking,TPOPT,03/21/2015,05/03/2016,16,
This Part Of Town,TPTOWN,11/27/1999,10/28/2023,173,
Tractor Jam,TRACTJ,03/11/1989,03/11/1989,1,
Love Tractor,TRACTO,06/16/1989,05/16/2025,990,Phuck Truck
Trashy,TRASHY,06/27/2021,04/24/2025,28,
Keep Your Lamps Trimmed and Burning,TRIMED,02/16/1987,04/18/2009,9,Trimmed and Burning
Trondossa,TRONDO,05/06/2018,04/28/2019,2,
Trouble,TROUBL,03/11/1989,07/28/2023,81,
True To My Nature,TRUNAT,07/07/2010,10/29/2014,41,
Travelin' Man,TRVMAN,05/02/2003,02/14/2025,90,
Traveler's Rest,TRVRST,08/10/2006,08/10/2006,1,
Testify,TSTIFY,12/31/1999,06/22/2002,2,
Tush,TUSH,10/10/2021,10/10/2021,1,
T.V. Eye,TVEYE,04/21/2015,04/21/2015,1,
Time Waits For No One,TW4NO1,10/31/2008,03/02/2017,9,
Time Waits Jam,TWAITJ,07/16/2003,07/16/2003,1,
Time Waits,TWAITS,07/16/2003,07/23/2022,32,
This Week In Baseball,TWIB,05/07/2003,05/07/2003,1,
That's What Love Will Make You Do,TWLWMY,10/06/1986,01/03/1987,7,
Tie Your Shoes,TYSHOE,03/17/1986,04/25/2025,334,
You'll Be Fine,UBFINE,09/15/1997,07/09/2013,31,
You Better Run,UBTRRN,07/30/2000,07/01/2008,10,
You Gotta Move,UGMOVE,06/01/1987,09/08/1987,2,
You Got Yours,UGOTY,09/16/1995,05/17/2025,265,I Got My Way
Me And My Uncle,UNCLE,05/13/1987,05/05/1989,65,
Across the Universe,UNIVER,02/19/2012,02/19/2012,1,
Up All Night,UPALLN,10/26/2007,05/16/2025,147,
Use Me,USEME,10/31/1997,09/16/2023,98,
You Wreck Me,UWRKME,10/20/2017,03/22/2025,21,
Vacation,VACATI,09/15/1986,03/23/2025,142,
Vampire Blues,VAMPIR,10/31/2005,07/28/2023,44,
Vicious,VICIOU,10/31/2003,10/24/2021,3,
If You'se A Viper,VIPER,04/20/2005,10/04/2005,6,"Viper Jive, The Reefer Song"
Volare,VOLARE,10/31/2019,10/31/2019,1,
Voodoo,VOODOO,05/02/2015,05/02/2015,1,
Visiting Day,VSTDAY,04/25/2000,12/30/2023,134,
Wait for No One,W4NO1,02/24/1985,05/13/1987,2,
Waiting For The Wind To Blow Down The Tree In My Backyard,W4WIND,01/19/1996,01/19/1996,1,"Waiting For The Wind, Another One, Quit Touching Me"
Waitin' For The Bus,WAIT4B,10/31/2009,05/25/2024,22,
The Waker,WAKER,10/07/1998,02/14/2025,97,
Walkin' (For Your Love),WALKIN,09/29/1989,05/17/2025,869,"Plains Hopping, Walkin'"
Walk On,WALKON,01/12/1987,03/22/2025,266,
Walkin' (For Your Love) reprise,WALKRP,10/25/1996,10/20/2010,3,
Wang Dang Doodle,WANGDD,09/08/1987,06/12/2005,3,
Wanna Be Startin' Somethin',WANSTR,12/31/2009,12/31/2009,1,
We'll Be Fine,WBFINE,06/26/2001,10/05/2003,3,
"Weak Brain, Narrow Mind",WBRAIN,07/16/1997,05/16/2025,103,
All Along The Watchtower,WCHTWR,07/22/2001,03/31/2019,14,
The Wind Cries Mary,WCMARY,10/31/1999,07/29/2001,5,
Who Do You Love,WDULUV,09/08/1987,09/08/1987,1,
Who Do You Belong To?,WDYBT,07/01/1993,04/14/2024,258,
Weight Of The World,WEIGHT,10/31/1990,10/23/2022,588,
Welcome To My Nightmare,WEL2MN,10/31/2007,10/31/2007,1,
Werewolves of London,WEREWO,10/19/1985,10/30/2021,55,
West Virginia,WESTVA,01/26/1993,10/27/2000,86,Mellow Jam
We Gotta Get Out Of This Place,WGGOTP,05/07/2005,05/07/2005,1,
Wild Thing,WILDTG,10/24/1985,06/26/2011,3,
Wipeout Jam,WIPEOU,02/24/1985,02/24/1985,1,
Wishbone,WISHBO,11/04/1988,08/23/2019,27,
Wish You Were Here,WISHYW,04/25/1986,10/28/2023,61,
The Wizard,WIZARD,10/28/2023,10/28/2023,1,
Wild Thing reprise,WLDTGR,06/26/2011,06/26/2011,1,
Walking After Midnight,WLKMID,12/31/2009,12/31/2009,1,
"Man Smart, Woman Smarter",WOMAN,,11/11/1987,9,Women Are Smarter
Wondering,WONDER,02/07/1992,05/16/2025,663,
Wooden Ships,WOODEN,09/15/1986,10/11/1988,17,
Worry,WORRY,,04/16/2024,438,"Worried, Worryin' About My Worries, Worries, Worryin'"
Westport Ferry (Not Berkeley CA),WPFERY,12/31/1996,12/31/1996,1,
Space Wrangler,WRANGL,10/19/1985,04/26/2025,1210,
Warning,WRNING,10/26/2016,10/26/2016,1,
Wet Trombone Blues,WTROMB,01/27/1994,06/27/2021,5,
Sleeping Man,WTSMAN,03/21/1995,05/16/2025,245,
Würm,WURM,07/08/1986,07/08/1986,1,
We Walk Each Other Home,WWEOH,07/30/2023,04/25/2025,15,
Wasted Words,WWORDS,01/10/2014,01/10/2014,1,
What A Wonderful World,WWORLD,12/31/1999,12/31/1999,1,(What A) Wonderful World
Christmas Katie,XKATIE,04/18/1998,03/23/2025,203,
Crossroads,XROADS,06/05/1990,11/23/1990,2,Crossroad Blues
Yard of Blonde Girls,YBGRLS,05/10/2003,10/26/2003,11,
Yer Blues,YBLUES,02/07/1996,02/07/1996,1,
You Can Get It If You Really Want,YCGYRW,09/12/2015,09/12/2015,1,
You Got It All Wrong,YGIAW,04/22/2002,04/22/2002,1,
You're Gonna Miss Me When I'm Gone,YGMWIG,10/31/2010,10/31/2010,1,
You've Got To Hide Your Love Away,YGTHYL,03/07/2014,07/21/2022,5,
Yield Not To Temptation,YLDNOT,12/31/2017,12/31/2017,1,
Young Lust,YNGLST,10/31/2015,10/31/2015,1,
You Should Be Glad,YSBG,04/01/2005,02/09/2023,171,
You're With Me Now,YWMNOW,04/22/2002,04/22/2002,1,
Zebra Song,ZEBRA,04/23/1988,04/23/1988,1,
Zigzaggin' Through Ghostland,ZIGZAG,10/31/2021,02/18/2022,2,
