song,code,ftp,ltp,times_played,aka
Piece of My Heart,POMHRT,08/24/18,05/25/24,2,
Porch Song,PORCH,03/17/86,04/24/25,1167,"Moon Time, Panic's Theme"
Postcard,POSTCA,10/06/86,03/23/25,254,
Postcard reprise,POSTCR,06/27/99,06/27/99,1,
Perfect Day,PRFDAY,10/31/19,10/31/19,1,
Proud Mary,PRMARY,10/31/08,10/31/08,1,
Protein Drink,PROTEI,12/31/01,04/25/25,144,
Proving Ground,PROVIN,,04/25/25,662,"Drug Deal, Big Sex"
Puppy Sleeps,PUPPY,12/31/01,10/28/23,8,
Pusherman,PUSHER,10/31/90,10/30/21,134,
Quarter Tank Of Gasoline,QTOGAS,03/04/92,09/16/23,33,
Radio Child,RADIO,03/26/95,06/22/24,417,
Rainy Day Women #12 & 35,RAINYW,04/20/02,11/10/02,2,
Room at the Top,RATTOP,03/24/24,03/24/24,1,
Red Beans,RBCOOK,04/27/92,02/20/22,114,
Road To Damascus,RD2DAM,06/26/01,10/02/07,5,
Radar Love,RDRLOV,10/31/96,10/30/06,2,
(Don't Fear) The Reaper,REAPER,10/28/18,10/28/18,1,
Rebirtha,REBIRT,01/23/93,04/25/25,426,
Reflections,REFLEC,01/12/91,01/31/91,2,
Right Place Wrong Time,RGHTPL,10/30/10,10/30/10,1,
Roadhouse Blues,RHBLUE,01/25/22,12/29/23,2,
Red Hot Mama,RHMAMA,10/31/98,04/24/25,203,
Ribs And Whiskey,RIBAWY,11/24/90,04/25/25,242,Seen Your Sister Naked
Ride Me High,RIDEME,11/04/96,03/23/25,305,
I Know You Rider,RIDER,04/24/86,07/06/91,28,
Rockin' In The Free World,RITFW,10/04/94,12/31/22,7,
Rock,ROCK,10/04/89,04/25/25,732,Brass Shoes Walking Blues
Rock Steady,ROCKST,08/24/18,08/24/18,1,
(Don't Go Back To) Rockville,ROCKVL,12/30/09,12/30/09,1,
Ring of Fire,ROFIRE,05/16/03,05/16/03,1,
Raise The Roof,ROOF,01/27/94,06/22/01,45,
Little Red Rooster,ROOSTR,06/12/05,06/12/05,1,
Ramble On Rose,ROROSE,05/23/15,05/23/15,1,
Rotgut,ROTGUT,10/31/95,10/31/95,1,
Riders On The Storm,ROTS,10/31/96,10/24/21,12,
House of the Rising Sun,RSNSUN,11/23/01,10/29/17,3,
Rumble,RUMBLE,10/29/17,06/23/23,11,
Running Down A Dream,RUNDRM,10/29/22,03/22/24,8,
Run For Your Life,RUNFYL,04/16/05,09/01/05,9,
Many Rivers To Cross,RVRCRS,01/28/12,12/31/22,13,
Respect Yourself,RYOURS,12/31/99,12/31/99,1,
Saint Ex,SAINTX,05/07/10,03/23/25,148,
Sandbox,SANDBX,04/03/96,12/31/22,25,
Enter Sandman,SANDMN,10/31/07,10/29/22,2,
Scarlet Begonias,SBEGON,08/12/87,10/20/87,6,
Still Crazy After All These Years,SCAATY,12/31/16,12/31/16,1,
Set the Controls for the Heart of the Sun Jam,SCHSJM,07/11/06,07/11/06,1,
She Caught The Katy,SCKATY,03/16/87,07/10/15,194,
Scholarship,SCSHIP,12/31/01,04/22/02,2,
Street Dogs For Breakfast,SD4B,03/13/15,01/26/19,28,
Sundown Betty,SDBETY,01/29/18,08/27/23,24,
Sympathy for the Devil,SDEVIL,04/24/86,01/27/20,33,
I Wanna Be Sedated,SEDATE,10/31/03,12/31/23,7,
Sell Sell,SELL,02/19/12,09/18/22,76,
Send Your Mind,SENDYM,04/02/91,04/24/25,341,
Sewing Machine,SEWMAC,12/31/01,04/25/25,147,
The Shape I'm In,SHAPE,09/17/95,10/23/21,32,
Sharon,SHARON,06/16/86,04/16/24,79,
She Walks Right In,SHEWRI,10/12/03,10/12/03,1,
Shiek,SHIEK,03/24/96,11/18/00,4,
Shoes On Tight,SHOES,03/24/07,03/30/07,2,
Stranglehold,SHOLD,10/20/88,10/20/88,1,
Shoot Out At The Fantasy Factory,SHOOTO,10/31/89,12/31/89,9,Shoot Out
I Shot The Sheriff,SHTSRF,10/31/15,10/31/15,1,
Shut Up And Drive,SHUTUP,05/08/10,03/23/25,108,
Stranger in a Strange Land,SIASL,11/19/21,03/22/24,7,
Sick And Tired,SICKTR,11/01/96,11/01/96,1,
Slippin' Into Darkness,SIDARK,10/31/02,01/19/24,78,
Song For Sitara,SITARA,03/30/05,07/18/06,14,
Spirit In The Dark,SITD,10/31/05,10/31/05,1,
Space is the Place Jam,SITPJM,04/18/92,04/18/92,1,
Skin It Back,SKINIB,10/31/02,11/12/02,3,
Solid Rock,SLDRCK,06/11/05,06/22/18,117,
Sweet Leaf,SLEAF,10/31/89,08/10/22,17,
St. Louis,SLOUIS,10/19/07,01/20/24,71,
Slip Kid,SLPKID,10/31/07,10/31/07,1,
Smoking Factory,SMKFAC,03/23/07,10/21/17,22,
Smoke And Burn,SMOKAB,03/30/95,07/31/98,29,Burned Faceless
Smokestack Lightning,SMOKE,04/05/86,02/16/25,69,
Small Town,SMTOWN,06/23/24,04/24/25,2,
Silent Night,SNIGHT,08/24/19,08/24/19,1,
Snake Drive,SNKDRV,04/09/05,01/27/19,5,
Snorkle Search,SNORKL,04/20/90,04/20/90,1,
Snowblind,SNOWBL,10/28/23,10/28/23,1,
I'm So Glad,SOGLAD,07/08/03,02/15/25,25,
Solace,SOLACE,01/26/96,04/13/96,8,
Sometimes,SOMTMS,08/23/99,02/16/25,118,
Soul Kitchen,SOULKI,10/28/00,12/29/23,3,
Space is the Place,SPACEP,05/29/22,05/29/22,1,
Ace of Spades,SPADES,10/31/13,04/19/23,7,
Spoonful,SPOONF,02/13/86,03/24/23,39,
Sparks Fly,SPRKFL,05/10/03,10/29/03,5,
Space Truckin',SPTRUK,10/31/96,10/31/96,1,
Spill The Wine,SPWINE,10/31/13,12/31/13,2,
"Shake, Rattle, And Roll",SRROLL,11/01/96,10/12/03,3,
Straight To Hell,ST2HEL,10/25/15,11/19/21,2,
Starman,STARMN,10/31/19,10/31/19,1,
Strange Brew,STBREW,10/31/14,10/31/14,1,
Steven's Cat,STEVEN,03/28/15,02/14/25,53,
Stag-O-Lee,STGRLE,01/18/96,11/08/13,10,
Strange Times,STIMES,10/31/10,10/15/11,4,
Stir It Up,STIRUP,06/22/85,06/29/08,5,
Shouldn't Have Took More Than You Gave,STMTYG,03/17/86,05/27/89,25,
And It Stoned Me,STONED,02/16/87,01/22/22,168,
Stop Breakin' Down Blues,STOPBD,10/27/00,04/24/25,199,
Stop-Go,STOPGO,04/07/86,03/21/25,779,Bookends
Success Yourself,SUCCES,01/27/94,06/27/21,7,
Such A Night,SUCHAN,10/30/21,10/30/21,1,
Sugaree,SUGARE,02/24/85,10/02/88,35,
Sultans of Swing,SULTAN,02/14/11,09/28/13,3,
Sun Keep,SUNKEP,07/05/90,10/15/90,8,
Superstition,SUPERS,10/31/98,07/13/13,25,
Surprise Valley,SURPRS,06/27/99,04/24/25,386,
Susie Q,SUSIEQ,04/25/86,09/07/13,3,
Strictly Volunteer Jam,SVOLNT,09/14/92,09/14/92,1,
Swamp,SWAMP,10/31/98,01/29/18,22,
Sweet Dreams (PC),SWDRPC,10/29/22,10/29/22,1,
Sweet Dreams (RB),SWDRRB,10/29/22,10/29/22,1,
Sweetness,SWEET,02/01/89,02/01/89,1,
Tacos,TACOS,08/01/95,10/31/19,3,Tacos Are Cheap But Pizza Is Expensive
There's A Hole In The Bucket,TAHITB,04/07/86,11/11/87,2,
The Take Out,TAKEOU,08/22/87,02/16/25,363,
Tall Boy,TALBOY,08/03/95,03/22/25,509,Naked In The Mud
Tackle Box Hero,TBHERO,01/17/23,03/21/25,12,
Tears of a Woman,TEARS,07/07/99,08/09/03,16,
Thank You Falettinme Be Mice Elf Agin,TFLMBM,08/05/89,04/24/15,33,
This Friendly World,TFWRLD,10/31/19,03/03/23,3,
Thinkin',THINKI,02/24/85,02/24/85,1,
Thin Air (Smells Like Mississippi),THNAIR,04/12/03,05/27/23,105,
Thought Sausage,THSAUS,04/18/00,04/26/25,235,
There Is A Time,TIATIM,10/31/15,06/22/24,12,
Tickle the Truth,TICKLE,04/04/07,12/30/23,91,
Time Is Free,TIFREE,10/30/93,05/29/22,33,
Time Is Free Jam,TIFREJ,10/26/93,08/02/98,4,
Time Fades Away,TIMEFA,12/31/13,06/29/14,5,
The Time Warp,TIMWRP,10/31/03,10/31/03,1,
Time Zones,TIMZON,04/30/05,12/30/23,126,
Time Is On My Side,TIOMS,12/31/12,12/31/12,1,
Tipitina,TIPITI,06/21/08,03/20/14,2,
Tiptoe Through The Tulips,TIPTOE,10/28/18,10/28/18,1,
Train Kept A Rollin',TKAROL,04/05/00,04/05/00,1,
Tail Dragger,TLDRAG,10/31/11,02/16/25,89,
Travelin' Light,TLIGHT,04/17/86,04/14/24,1040,
This Must Be The Place (Naïve Melody),TMBTP,10/28/23,10/28/23,1,
Tennessee Before Daylight,TNB4DL,08/13/06,08/13/06,1,
That Old Black Magic,TOBM,10/30/06,10/30/06,1,
The Old Man Down the Road,TOMDTR,09/07/13,09/07/13,1,
Tongue (Shuffle In A),TONGUE,12/31/10,12/31/10,1,
Tortured Artist,TORART,04/11/03,04/14/24,87,
Toura Loura Loura,TOURA,03/17/18,03/17/18,1,
The Poorhouse Of Positive Thinking,TPOPT,03/21/15,05/03/16,16,
This Part Of Town,TPTOWN,11/27/99,10/28/23,173,
Tractor Jam,TRACTJ,03/11/89,03/11/89,1,
Love Tractor,TRACTO,06/16/89,03/22/25,989,Phuck Truck
Trashy,TRASHY,06/27/21,04/24/25,28,
Keep Your Lamps Trimmed and Burning,TRIMED,02/16/87,04/18/09,9,Trimmed and Burning
Trondossa,TRONDO,05/06/18,04/28/19,2,
Trouble,TROUBL,03/11/89,07/28/23,81,
True To My Nature,TRUNAT,07/07/10,10/29/14,41,
Travelin' Man,TRVMAN,05/02/03,02/14/25,90,
Traveler's Rest,TRVRST,08/10/06,08/10/06,1,
Testify,TSTIFY,12/31/99,06/22/02,2,
Tush,TUSH,10/10/21,10/10/21,1,
T.V. Eye,TVEYE,04/21/15,04/21/15,1,
Time Waits For No One,TW4NO1,10/31/08,03/02/17,9,
Time Waits Jam,TWAITJ,07/16/03,07/16/03,1,
Time Waits,TWAITS,07/16/03,07/23/22,32,
This Week In Baseball,TWIB,05/07/03,05/07/03,1,
That's What Love Will Make You Do,TWLWMY,10/06/86,01/03/87,7,
Tie Your Shoes,TYSHOE,03/17/86,04/25/25,334,
You'll Be Fine,UBFINE,09/15/97,07/09/13,31,
You Better Run,UBTRRN,07/30/00,07/01/08,10,
You Gotta Move,UGMOVE,06/01/87,09/08/87,2,
You Got Yours,UGOTY,09/16/95,02/16/25,264,I Got My Way
Me And My Uncle,UNCLE,05/13/87,05/05/89,65,
Across the Universe,UNIVER,02/19/12,02/19/12,1,
Up All Night,UPALLN,10/26/07,03/22/25,146,
Use Me,USEME,10/31/97,09/16/23,98,
You Wreck Me,UWRKME,10/20/17,03/22/25,21,
Vacation,VACATI,09/15/86,03/23/25,142,
Vampire Blues,VAMPIR,10/31/05,07/28/23,44,
Vicious,VICIOU,10/31/03,10/24/21,3,
If You'se A Viper,VIPER,04/20/05,10/04/05,6,"Viper Jive, The Reefer Song"
Volare,VOLARE,10/31/19,10/31/19,1,
Voodoo,VOODOO,05/02/15,05/02/15,1,
Visiting Day,VSTDAY,04/25/00,12/30/23,134,
Wait for No One,W4NO1,02/24/85,05/13/87,2,
Waiting For The Wind To Blow Down The Tree In My Backyard,W4WIND,01/19/96,01/19/96,1,"Waiting For The Wind, Another One, Quit Touching Me"
Waitin' For The Bus,WAIT4B,10/31/09,05/25/24,22,
The Waker,WAKER,10/07/98,02/14/25,97,
Walkin' (For Your Love),WALKIN,09/29/89,03/22/25,868,"Plains Hopping, Walkin'"
Walk On,WALKON,01/12/87,03/22/25,266,
Walkin' (For Your Love) reprise,WALKRP,10/25/96,10/20/10,3,
Wang Dang Doodle,WANGDD,09/08/87,06/12/05,3,
Wanna Be Startin' Somethin',WANSTR,12/31/09,12/31/09,1,
We'll Be Fine,WBFINE,06/26/01,10/05/03,3,
"Weak Brain, Narrow Mind",WBRAIN,07/16/97,10/28/23,102,
All Along The Watchtower,WCHTWR,07/22/01,03/31/19,14,
The Wind Cries Mary,WCMARY,10/31/99,07/29/01,5,
Who Do You Love,WDULUV,09/08/87,09/08/87,1,
Who Do You Belong To?,WDYBT,07/01/93,04/14/24,258,
Weight Of The World,WEIGHT,10/31/90,10/23/22,588,
Welcome To My Nightmare,WEL2MN,10/31/07,10/31/07,1,
Werewolves of London,WEREWO,10/19/85,10/30/21,55,
West Virginia,WESTVA,01/26/93,10/27/00,86,Mellow Jam
We Gotta Get Out Of This Place,WGGOTP,05/07/05,05/07/05,1,
Wild Thing,WILDTG,10/24/85,06/26/11,3,
Wipeout Jam,WIPEOU,02/24/85,02/24/85,1,
Wishbone,WISHBO,11/04/88,08/23/19,27,
Wish You Were Here,WISHYW,04/25/86,10/28/23,61,
The Wizard,WIZARD,10/28/23,10/28/23,1,
Wild Thing reprise,WLDTGR,06/26/11,06/26/11,1,
Walking After Midnight,WLKMID,12/31/09,12/31/09,1,
"Man Smart, Woman Smarter",WOMAN,,11/11/87,9,Women Are Smarter
Wondering,WONDER,02/07/92,03/23/25,662,
Wooden Ships,WOODEN,09/15/86,10/11/88,17,
Worry,WORRY,,04/16/24,438,"Worried, Worryin' About My Worries, Worries, Worryin'"
Westport Ferry (Not Berkeley CA),WPFERY,12/31/96,12/31/96,1,
Space Wrangler,WRANGL,10/19/85,04/26/25,1210,
Warning,WRNING,10/26/16,10/26/16,1,
Wet Trombone Blues,WTROMB,01/27/94,06/27/21,5,
Sleeping Man,WTSMAN,03/21/95,03/22/25,244,
Würm,WURM,07/08/86,07/08/86,1,
We Walk Each Other Home,WWEOH,07/30/23,04/25/25,15,
Wasted Words,WWORDS,01/10/14,01/10/14,1,
What A Wonderful World,WWORLD,12/31/99,12/31/99,1,(What A) Wonderful World
Christmas Katie,XKATIE,04/18/98,03/23/25,203,
Crossroads,XROADS,06/05/90,11/23/90,2,Crossroad Blues
Yard of Blonde Girls,YBGRLS,05/10/03,10/26/03,11,
Yer Blues,YBLUES,02/07/96,02/07/96,1,
You Can Get It If You Really Want,YCGYRW,09/12/15,09/12/15,1,
You Got It All Wrong,YGIAW,04/22/02,04/22/02,1,
You're Gonna Miss Me When I'm Gone,YGMWIG,10/31/10,10/31/10,1,
You've Got To Hide Your Love Away,YGTHYL,03/07/14,07/21/22,5,
Yield Not To Temptation,YLDNOT,12/31/17,12/31/17,1,
Young Lust,YNGLST,10/31/15,10/31/15,1,
You Should Be Glad,YSBG,04/01/05,02/09/23,171,
You're With Me Now,YWMNOW,04/22/02,04/22/02,1,
Zebra Song,ZEBRA,04/23/88,04/23/88,1,
Zigzaggin' Through Ghostland,ZIGZAG,10/31/21,02/18/22,2,
